phase,local_offset,requested_goal,truth_table_class,count
component_2_P,2,P,Y,20
component_2_P,222,P,P,40
component_2_P,24,P,P,10
component_2_P,24,P,raw_codeword_specific_composite,30
component_2_P,256,P,P,40
component_2_P,3,P,Q,20
component_2_P,3,P,Y,20
component_2_P,33,P,P,37
component_2_P,33,P,raw_codeword_specific_composite,3
component_2_P,4,P,Q,20
component_2_P,4,P,Y,20
component_2_P,45,P,P,40
component_2_P,5,P,Q,20
component_2_P,5,P,Y,20
component_2_P,62,P,P,40
component_2_P,7,P,Q,20
component_2_P,7,P,Y,19
component_2_P,7,P,raw_codeword_specific_composite,1
component_2_P,85,P,P,40
component_2_P,9,P,Q,19
component_2_P,9,P,Y,13
component_2_P,9,P,raw_codeword_specific_composite,8
component_2_Q,0,Q,P,20
component_2_Q,0,Q,Y,20
component_2_Q,1,Q,P,20
component_2_Q,1,Q,Y,20
component_2_Q,117,Q,Q,40
component_2_Q,128,Q,Q,40
component_2_Q,13,Q,P,15
component_2_Q,13,Q,Y,2
component_2_Q,13,Q,raw_codeword_specific_composite,23
component_2_Q,161,Q,Q,40
component_2_Q,17,Q,P,6
component_2_Q,17,Q,raw_codeword_specific_composite,34
component_2_Q,2,Q,P,20
component_2_Q,2,Q,Y,20
component_2_Q,222,Q,Q,40
component_2_Q,24,Q,P,5
component_2_Q,24,Q,raw_codeword_specific_composite,35
component_2_Q,256,Q,Q,40
component_2_Q,3,Q,P,20
component_2_Q,3,Q,Y,20
component_2_Q,33,Q,Q,1
component_2_Q,33,Q,raw_codeword_specific_composite,39
component_2_Q,4,Q,P,20
component_2_Q,4,Q,Y,20
component_2_Q,45,Q,Q,10
component_2_Q,45,Q,other_candidate_tuple_consistent,1
component_2_Q,45,Q,raw_codeword_specific_composite,29
component_2_Q,5,Q,P,20
component_2_Q,5,Q,Y,20
component_2_Q,62,Q,Q,31
component_2_Q,62,Q,raw_codeword_specific_composite,9
component_2_Q,7,Q,P,20
component_2_Q,7,Q,Y,19
component_2_Q,7,Q,raw_codeword_specific_composite,1
component_2_Q,85,Q,Q,40
component_2_Q,9,Q,P,20
component_2_Q,9,Q,Y,15
component_2_Q,9,Q,raw_codeword_specific_composite,5
component_2_Y,0,Y,P,20
component_2_Y,0,Y,Q,20
component_2_Y,1,Y,P,20
component_2_Y,1,Y,Q,20
component_2_Y,117,Y,Y,29
component_2_Y,117,Y,other_candidate_tuple_consistent,2
component_2_Y,117,Y,raw_codeword_specific_composite,9
component_2_Y,128,Y,Y,35
component_2_Y,128,Y,other_candidate_tuple_consistent,1
component_2_Y,128,Y,raw_codeword_specific_composite,4
component_2_Y,13,Y,P,15
component_2_Y,13,Y,Q,6
component_2_Y,13,Y,raw_codeword_specific_composite,19
component_2_Y,161,Y,Y,39
component_2_Y,161,Y,raw_codeword_specific_composite,1
component_2_Y,17,Y,P,9
component_2_Y,17,Y,raw_codeword_specific_composite,31
component_2_Y,2,Y,P,20
component_2_Y,2,Y,Q,20
component_2_Y,222,Y,Y,40
component_2_Y,24,Y,P,11
component_2_Y,24,Y,Q,1
component_2_Y,24,Y,raw_codeword_specific_composite,28
component_2_Y,256,Y,Y,40
component_2_Y,3,Y,P,20
component_2_Y,3,Y,Q,20
component_2_Y,33,Y,P,3
component_2_Y,33,Y,other_candidate_tuple_consistent,3
component_2_Y,33,Y,raw_codeword_specific_composite,34
component_2_Y,4,Y,P,20
component_2_Y,4,Y,Q,20
component_2_Y,45,Y,P,1
component_2_Y,45,Y,other_candidate_tuple_consistent,1
component_2_Y,45,Y,raw_codeword_specific_composite,38
component_2_Y,5,Y,P,20
component_2_Y,5,Y,Q,20
component_2_Y,62,Y,other_candidate_tuple_consistent,2
component_2_Y,62,Y,raw_codeword_specific_composite,38
component_2_Y,7,Y,P,20
component_2_Y,7,Y,Q,20
component_2_Y,85,Y,Y,9
component_2_Y,85,Y,other_candidate_tuple_consistent,4
component_2_Y,85,Y,raw_codeword_specific_composite,27
component_2_Y,9,Y,P,20
component_2_Y,9,Y,Q,19
component_2_Y,9,Y,raw_codeword_specific_composite,1
component_3_P,0,P,Q,20
component_3_P,0,P,Y,20
component_3_P,1,P,Q,20
component_3_P,1,P,Y,20
component_3_P,117,P,P,40
component_3_P,128,P,P,40
component_3_P,13,P,Q,4
component_3_P,13,P,raw_codeword_specific_composite,36
component_3_P,161,P,P,40
component_3_P,17,P,other_candidate_tuple_consistent,1
component_3_P,17,P,raw_codeword_specific_composite,39
component_3_P,2,P,Q,20
component_3_P,2,P,Y,20
component_3_P,222,P,P,40
component_3_P,24,P,P,2
component_3_P,24,P,raw_codeword_specific_composite,38
component_3_P,256,P,P,40
component_3_P,3,P,Q,20
component_3_P,3,P,Y,20
component_3_P,33,P,P,35
component_3_P,33,P,raw_codeword_specific_composite,5
component_3_P,4,P,Q,20
component_3_P,4,P,Y,20
component_3_P,45,P,P,40
component_3_P,5,P,Q,20
component_3_P,5,P,Y,20
component_3_P,62,P,P,40
component_3_P,7,P,Q,19
component_3_P,7,P,Y,20
component_3_P,7,P,raw_codeword_specific_composite,1
component_3_P,85,P,P,40
component_3_P,9,P,Q,13
component_3_P,9,P,Y,12
component_3_P,9,P,raw_codeword_specific_composite,15
component_3_Q,0,Q,P,20
component_3_Q,0,Q,Y,20
component_3_Q,1,Q,P,20
component_3_Q,1,Q,Y,20
component_3_Q,117,Q,Q,40
component_3_Q,128,Q,Q,40
component_3_Q,13,Q,P,18
component_3_Q,13,Q,Y,4
component_3_Q,13,Q,raw_codeword_specific_composite,18
component_3_Q,161,Q,Q,40
component_3_Q,17,Q,P,19
component_3_Q,17,Q,Y,1
component_3_Q,17,Q,raw_codeword_specific_composite,20
component_3_Q,2,Q,P,20
component_3_Q,2,Q,Y,20
component_3_Q,222,Q,Q,40
component_3_Q,24,Q,P,6
component_3_Q,24,Q,raw_codeword_specific_composite,34
component_3_Q,256,Q,Q,40
component_3_Q,3,Q,P,20
component_3_Q,3,Q,Y,20
component_3_Q,33,Q,other_candidate_tuple_consistent,4
component_3_Q,33,Q,raw_codeword_specific_composite,36
component_3_Q,4,Q,P,20
component_3_Q,4,Q,Y,20
component_3_Q,45,Q,Q,2
component_3_Q,45,Q,raw_codeword_specific_composite,38
component_3_Q,5,Q,P,20
component_3_Q,5,Q,Y,20
component_3_Q,62,Q,Q,21
component_3_Q,62,Q,raw_codeword_specific_composite,19
component_3_Q,7,Q,P,20
component_3_Q,7,Q,Y,17
component_3_Q,7,Q,raw_codeword_specific_composite,3
component_3_Q,85,Q,Q,40
component_3_Q,9,Q,P,20
component_3_Q,9,Q,Y,14
component_3_Q,9,Q,raw_codeword_specific_composite,6
component_3_Y,0,Y,P,20
component_3_Y,0,Y,Q,20
component_3_Y,1,Y,P,20
component_3_Y,1,Y,Q,20
component_3_Y,117,Y,Y,25
component_3_Y,117,Y,raw_codeword_specific_composite,15
component_3_Y,128,Y,Y,33
component_3_Y,128,Y,raw_codeword_specific_composite,7
component_3_Y,13,Y,P,18
component_3_Y,13,Y,Q,7
component_3_Y,13,Y,raw_codeword_specific_composite,15
component_3_Y,161,Y,Y,38
component_3_Y,161,Y,raw_codeword_specific_composite,2
component_3_Y,17,Y,P,15
component_3_Y,17,Y,other_candidate_tuple_consistent,1
component_3_Y,17,Y,raw_codeword_specific_composite,24
component_3_Y,2,Y,P,20
component_3_Y,2,Y,Q,20
component_3_Y,222,Y,Y,40
component_3_Y,24,Y,P,4
component_3_Y,24,Y,other_candidate_tuple_consistent,3
component_3_Y,24,Y,raw_codeword_specific_composite,33
component_3_Y,256,Y,Y,40
component_3_Y,3,Y,P,20
component_3_Y,3,Y,Q,20
component_3_Y,33,Y,other_candidate_tuple_consistent,1
component_3_Y,33,Y,raw_codeword_specific_composite,39
component_3_Y,4,Y,P,20
component_3_Y,4,Y,Q,20
component_3_Y,45,Y,other_candidate_tuple_consistent,1
component_3_Y,45,Y,raw_codeword_specific_composite,39
component_3_Y,5,Y,P,20
component_3_Y,5,Y,Q,20
component_3_Y,62,Y,raw_codeword_specific_composite,40
component_3_Y,7,Y,P,20
component_3_Y,7,Y,Q,20
component_3_Y,85,Y,Y,2
component_3_Y,85,Y,other_candidate_tuple_consistent,1
component_3_Y,85,Y,raw_codeword_specific_composite,37
component_3_Y,9,Y,P,20
component_3_Y,9,Y,Q,20
washout,0,,P,40
washout,0,,Q,40
washout,0,,Y,40
washout,1,,P,40
washout,1,,Q,40
washout,1,,Y,40
washout,117,,P,40
washout,117,,Q,39
washout,117,,Y,36
washout,117,,raw_codeword_specific_composite,5
washout,128,,P,40
washout,128,,Q,39
washout,128,,Y,34
washout,128,,raw_codeword_specific_composite,7
washout,13,,P,40
washout,13,,Q,40
washout,13,,Y,39
washout,13,,raw_codeword_specific_composite,1
washout,161,,P,40
washout,161,,Q,39
washout,161,,Y,34
washout,161,,raw_codeword_specific_composite,7
washout,17,,P,40
washout,17,,Q,40
washout,17,,Y,39
washout,17,,raw_codeword_specific_composite,1
washout,2,,P,40
washout,2,,Q,40
washout,2,,Y,40
washout,222,,P,40
washout,222,,Q,39
washout,222,,Y,32
washout,222,,raw_codeword_specific_composite,9
washout,24,,P,40
washout,24,,Q,40
washout,24,,Y,38
washout,24,,raw_codeword_specific_composite,2
washout,256,,P,40
washout,256,,Q,39
washout,256,,Y,32
washout,256,,raw_codeword_specific_composite,9
washout,3,,P,40
washout,3,,Q,40
washout,3,,Y,40
washout,33,,P,40
washout,33,,Q,40
washout,33,,Y,37
washout,33,,raw_codeword_specific_composite,3
washout,4,,P,40
washout,4,,Q,40
washout,4,,Y,40
washout,45,,P,40
washout,45,,Q,40
washout,45,,Y,37
washout,45,,raw_codeword_specific_composite,3
washout,5,,P,40
washout,5,,Q,40
washout,5,,Y,40
washout,62,,P,40
washout,62,,Q,40
washout,62,,Y,37
washout,62,,raw_codeword_specific_composite,3
washout,7,,P,40
washout,7,,Q,40
washout,7,,Y,40
washout,85,,P,40
washout,85,,Q,40
washout,85,,Y,36
washout,85,,raw_codeword_specific_composite,4
washout,9,,P,40
washout,9,,Q,40
washout,9,,Y,40
